departure_airport,arrival_airport,flight_duration,start_datetime
1,2,300,2024-6-19T8:3:00
1,3,420,2024-3-22T22:14:00
1,4,140,2024-8-11T13:37:00
1,5,620,2024-7-26T6:25:00
1,6,280,2024-9-7T6:22:00
1,7,190,2024-10-8T9:24:00
1,8,320,2024-1-1T10:17:00
1,9,470,2024-12-21T11:11:00
1,10,220,2024-8-5T15:55:00
2,1,300,2024-12-13T11:28:00
2,3,280,2024-9-19T12:50:00
2,4,340,2024-8-26T18:5:00
2,5,710,2024-12-29T2:35:00
2,6,290,2024-8-10T16:57:00
2,7,820,2024-6-25T16:34:00
2,8,350,2024-7-24T5:47:00
2,9,540,2024-11-26T16:16:00
2,10,170,2024-8-26T13:28:00
3,1,420,2024-9-19T19:6:00
3,2,280,2024-5-9T6:58:00
3,4,720,2024-6-6T1:15:00
3,5,280,2024-8-5T18:27:00
3,6,690,2024-5-2T6:23:00
3,7,530,2024-1-13T20:22:00
3,8,510,2024-1-4T3:40:00
3,9,620,2024-1-28T12:32:00
3,10,410,2024-10-10T16:53:00
4,1,140,2024-9-6T23:27:00
4,2,340,2024-10-13T11:31:00
4,3,720,2024-6-27T8:53:00
4,5,320,2024-11-4T1:10:00
4,6,640,2024-9-13T8:48:00
4,7,830,2024-6-7T13:6:00
4,8,290,2024-1-3T8:31:00
4,9,450,2024-5-7T4:12:00
4,10,810,2024-2-5T19:17:00
5,1,620,2024-6-13T18:29:00
5,2,710,2024-5-2T23:34:00
5,3,280,2024-7-27T5:26:00
5,4,320,2024-12-26T13:1:00
5,6,470,2024-9-27T12:15:00
5,7,350,2024-3-15T14:20:00
5,8,280,2024-7-15T17:38:00
5,9,910,2024-12-21T15:35:00
5,10,280,2024-10-22T9:54:00
6,1,280,2024-4-24T8:18:00
6,2,290,2024-9-26T13:49:00
6,3,690,2024-1-3T11:14:00
6,4,640,2024-9-13T3:7:00
6,5,470,2024-4-18T22:3:00
6,7,150,2024-2-29T22:33:00
6,8,350,2024-10-29T16:42:00
6,9,810,2024-2-28T4:23:00
6,10,680,2024-8-8T13:16:00
